productid,avg_score,num_reviews
B0000DG5AE,5.0,2
B0000DG5AG,5.0,1
B0000DG5AI,5.0,1
B0000DG5AN,5.0,6
B0000DG5AO,5.0,4
B0000DG5AP,4.666666666666667,3
B0000DG5AQ,5.0,1
B0000DG5AX,2.0,1
B0000DG5AZ,5.0,1
B0000DG5B2,5.0,1
B0000DG5B4,5.0,1
B0000DG5B5,5.0,1
B0000DG5B6,5.0,1
B0000DG5BN,2.0,1
B0000DG5BO,5.0,2
B0000DG5BP,5.0,1
B0000DG5BV,5.0,1
B0000DG5CD,2.75,4
B0000DG5CH,5.0,1
B0000DG5EC,5.0,1
B0000DG5EE,5.0,2
B0000DG5EL,4.5,2
B0000DG5G3,5.0,1
B0000DG6WJ,3.0,1
B0000DG6WN,5.0,1
B0000DG6XV,5.0,5
B0000DG6XY,4.0,2
B0000DG6Y0,3.3333333333333335,3
B0000DG6Y8,5.0,1
B0000DG6ZI,5.0,2
B0000DG6ZO,5.0,1
B0000DG70G,5.0,1
B0000DG718,3.0,2
B0000DG71F,4.0,1
B0000DG71N,4.666666666666667,3
B0000DG71O,4.666666666666667,3
B0000DG71V,4.555555555555555,9
B0000DG727,5.0,1
B0000DG72J,5.0,1
B0000DG72M,5.0,1
B0000DG72N,5.0,1
B0000DG72O,5.0,1
B0000DG72R,4.0,10
B0000DG72T,4.0,10
B0000DG72U,4.0,10
B0000DG733,5.0,1
B0000DG734,5.0,1
B0000DG86W,4.166666666666667,24
B0000DG86X,2.5,4
B0000DG87B,5.0,2
B0000DG8AR,3.0,24
B0000DGD48,1.0,3
B0000DGD4G,3.0,2
B0000DGDLI,5.0,1
B0000DGDMO,2.3333333333333335,9
B0000DGDPF,3.6666666666666665,3
B0000DGDPK,1.0,1
B0000DGF5S,3.433333333333333,30
B0000DGF5W,5.0,1
B0000DGF9T,3.6666666666666665,3
B0000DGF9V,4.025974025974026,77
B0000DGF9Y,1.0,1
B0000DGFA9,3.8085106382978724,47
B0000DGFAB,3.3333333333333335,6
B0000DGFAC,3.2,30
B0000DGFCL,3.4545454545454546,11
B0000DGFCO,3.4594594594594597,37
B0000DGFCP,3.5,6
B0000DGFCS,2.0,2
B0000DGG1U,4.266666666666667,90
B0000DGG1V,3.1818181818181817,11
B0000DGG22,3.5454545454545454,33
B0000DGG4X,4.666666666666667,3
B0000DGG4Y,3.3333333333333335,3
B0000DGG51,3.5,2
B0000DGG8B,3.1923076923076925,26
B0000DGG8D,2.7142857142857144,14
B0000DGGMQ,3.857142857142857,14
B0000DGR95,5.0,1
B0000DHWZH,3.0,2
B0000DHX79,4.5,2
B0000DHXGI,5.0,1
B0000DHXGR,5.0,1
B0000DHZ27,1.0,1
B0000DHZ3W,5.0,2
B0000DHZ82,4.666666666666667,3
B0000DHZT8,5.0,1
B0000DHZY1,2.0,1
B0000DI06P,5.0,2
B0000DI08W,5.0,1
B0000DI0GG,5.0,1
B0000DI0KA,3.6666666666666665,3
B0000DI1E8,5.0,1
B0000DI1EC,4.333333333333333,3
B0000DID47,4.0,1
B0000DID48,5.0,1
B0000DID5Q,4.428571428571429,7
B0000DID5R,4.278688524590164,61
B0000DID5S,5.0,1
B0000DID5T,4.666666666666667,3
B0000DID5V,4.0,5
B0000DID5X,5.0,3
B0000DID5Z,4.5,2
B0000DID60,5.0,3
B0000DID61,3.6666666666666665,3
B0000DID63,5.0,1
B0000DID68,5.0,1
B0000DID6A,2.0,1
B0000DID6J,3.75,4
B0000DID6R,4.5,2
B0000DID6T,3.75,4
B0000DID76,3.6666666666666665,3
B0000DID77,1.0,1
B0000DID78,5.0,4
B0000DIEIU,4.0,1
B0000DIEJ0,5.0,2
B0000DIEJ1,5.0,1
B0000DIPJA,4.0,2
B0000DIPJC,4.0,2
B0000DIRZS,5.0,1
B0000DISUX,4.0,2
B0000DISUY,5.0,1
B0000DISV2,3.6666666666666665,3
B0000DISV5,4.666666666666667,3
B0000DISV6,3.0,8
B0000DISV7,4.666666666666667,3
B0000DIVU7,4.0,4
B0000DIVUE,4.0,1
B0000DIVUR,5.0,1
B0000DIVVC,3.0,2
B0000DIVVK,3.0,2
B0000DIVVO,3.0,2
B0000DIWQ4,5.0,1
B0000DIWR3,5.0,3
B0000DIWWD,4.714285714285714,7
B0000DIWWE,5.0,2
B0000DIX2M,4.916666666666667,12
B0000DIX2N,4.666666666666667,3
B0000DIX2R,4.333333333333333,12
B0000DIX2U,3.5,2
B0000DIXKS,2.8,5
B0000DIXKU,3.5,20
